Province	Island	Site	Area Transect	ID Transect	Data	Depth (m)	Species Richnes (spp/tran)	Density (ind/m2)	Biomass (g/m2)
tep_south	malpelo	arrecife	40	mal_arrecife_3801	apr_2015	10.2	24	17.25	2399.31
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_4989	apr_2015	21	18	8.47	2321.49
tep_south	malpelo	arrecife	40	mal_arrecife_3799	apr_2015	15.1	24	10.33	1506.89
tep_south	malpelo	arrecife	40	mal_arrecife_4955	apr_2015	18.9	19	12.38	937.54
tep_north	revillagigedo_san_benedicto	the_boiler_s	250	rsb_the_boiler_s_4917	feb_2006	25	19	2.71	1034.56
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_5002	apr_2015	19.3	8	3.92	1234.17
tep_south	malpelo	arrecife	40	mal_arrecife_3804	apr_2015	21	20	26.55	1100.32
tep_south	malpelo	arrecife	40	mal_arrecife_4952	apr_2015	23.8	21	10.53	1820.87
cen_atla	ascension	northeast_point	40	asc_northeast_point_5048	aug_2015	7	15	3.83	930.36
tep_south	malpelo	arrecife	40	mal_arrecife_4956	apr_2015	20.1	19	28.98	898.04
swa	trindade	tunel	40	tri_tunel_301	jun_2009	44	15	2.38	1378.89
cen_atla	ascension	northeast_point	40	asc_northeast_point_5034	aug_2015	8	19	8.18	654.41
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5007	aug_2015	13	16	4.1	484.32
swa	trindade	tunel	40	tri_tunel_300	jun_2009	44	22	2.23	1741.04
tep_south	malpelo	arrecife	40	mal_arrecife_3812	apr_2015	25.1	23	5.97	484.5
swa	trindade	tunel	40	tri_tunel_302	jun_2009	44	17	2.65	1065.91
tep_north	revillagigedo_san_benedicto	the_boiler_s	250	rsb_the_boiler_s_4916	feb_2006	20	13	1.52	574.58
tep_south	malpelo	nevera	40	mal_nevera_4966	apr_2015	23	14	9.28	294.31
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_4991	apr_2015	19	17	9.6	2141.51
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_4986	apr_2015	20	22	12.2	2267.75
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5062	aug_2015	4	20	6.45	1054.09
cen_atla	ascension	comfortless_cove	40	asc_comfortless_cove_5074	aug_2015	7	13	12.55	338.09
tep_south	malpelo	arrecife	40	mal_arrecife_3816	apr_2015	24.9	22	7.47	1088
cen_atla	ascension	guano_jetty	40	asc_guano_jetty_5017	aug_2015	7	18	5.53	592.04
swa	trindade	tunel	40	tri_tunel_4857	jun_2009	45	10	1.02	634.72
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_4998	apr_2015	21.2	12	7.12	2683.18
tep_south	malpelo	pared_del_naufrago	40	mal_pared_del_naufrago_4985	apr_2015	12	13	7.28	413.86
tep_south	malpelo	arrecife	40	mal_arrecife_3774	apr_2015	21	18	3.8	291.27
tep_south	malpelo	arrecife	40	mal_arrecife_3802	apr_2015	26.2	19	4.45	1312.53
tep_south	galapagos_floreana	la_botella	250	gflor_la_botella_12015	jul_2015	15	33	22.41	2313.09
tea	stome	cabras_kia	40	sto_cabras_kia_3031	feb_2006	21	22	18.5	819.39
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3576	set_2009	3.6	7	4.78	36.53
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3577	set_2009	3.8	11	6.8	151.57
tea	stome	santana	40	sto_santana_3118	feb_2006	17	10	5.7	18.57
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3573	set_2009	6.8	10	10.32	29.13
tea	stome	cabras_kia	40	sto_cabras_kia_3016	feb_2006	12	16	3.42	10.96
tea	cverde	agua_ruim	40	cve_agua_ruim_2953	set_2009	20	17	23.73	601.28
tea	cverde	ponta_praia	40	cve_ponta_praia_3709	set_2009	10	10	4.17	23.6
tea	stome	santana	40	sto_santana_3136	feb_2006	19	11	17.82	607.53
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3574	set_2009	7.1	10	3.45	158.75
tea	cverde	agua_ruim	40	cve_agua_ruim_3235	set_2009	17.2	11	15.95	741.9
tea	stome	santana	40	sto_santana_3137	feb_2006	19	13	8.7	502.32
tea	cverde	agua_doce	40	cve_agua_doce_2590	set_2009	11	12	2.7	131.22
tea	principe	praia_banana	40	prin_praia_banana_5229	jan_2016	3	17	6.38	95.84
tea	stome	santana	40	sto_santana_3116	feb_2006	17	9	3.58	7.14
tea	stome	cabras_kia	40	sto_cabras_kia_3022	feb_2006	14	10	14.7	72.09
tea	cverde	agua_ruim	40	cve_agua_ruim_3224	set_2009	17.7	13	8.85	264.36
tea	stome	santana	40	sto_santana_3120	feb_2006	21	8	2.1	63.64
tea	cverde	ponta_praia	40	cve_ponta_praia_3699	set_2009	10	15	11.95	250.35
tea	stome	rolas_braga	40	sto_rolas_braga_3052	feb_2006	20	19	4.78	155.62
tea	cverde	agua_doce	40	cve_agua_doce_2601	set_2009	11	13	6.9	46.48
tea	stome	rolas_braga	40	sto_rolas_braga_3051	feb_2006	20	18	2.55	72.63
tea	stome	rolas_braga	40	sto_rolas_braga_3044	feb_2006	20	11	2.88	13.08
tea	cverde	agua_ruim	40	cve_agua_ruim_3119	set_2009	5	15	40.42	1938.06
tea	cverde	curral	40	cve_curral_3443	oct_2009	9	14	5.78	335.81
tea	cverde	curral	40	cve_curral_3361	oct_2009	9.5	18	12.43	788.86
tea	stome	cabras_kia	40	sto_cabras_kia_3042	feb_2006	14	16	17.45	41.65
tea	stome	sete_pedras_1	40	sto_sete_pedras_1_3147	feb_2006	19	18	7.78	495.53
tea	cverde	curral	40	cve_curral_3339	oct_2009	7	15	2.17	96.72
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3586	set_2009	9	13	5.83	118.41
tea	cverde	agua_ruim	40	cve_agua_ruim_2981	set_2009	17	17	29.02	968.34
tea	cverde	ponta_chica	40	cve_ponta_chica_3698	set_2009	5.6	21	3.2	155.86
tea	cverde	agua_ruim	40	cve_agua_ruim_3014	set_2009	5	16	33	1132.12
tea	cverde	agua_ruim	40	cve_agua_ruim_2992	set_2009	12	19	30	1042.7
tea	cverde	agua_ruim	40	cve_agua_ruim_3097	set_2009	4.2	12	59.12	1444.81
tea	cverde	ilheuzinho	40	cve_ilheuzinho_3585	set_2009	12	17	7.47	222.07
tea	cverde	ponta_chica	40	cve_ponta_chica_3691	set_2009	8	10	8.82	326.04
tea	cverde	agua_ruim	40	cve_agua_ruim_3246	set_2009	7.7	17	34.85	482.66
swa	trindade	calheta	40	tri_calheta_292	jun_2009	15	18	2.05	255
swa	stpauls_rocks	boia	40	spr_boia_2716	apr_2012	32	11	8.22	426.36
tep_south	malpelo	arrecife	40	mal_arrecife_3790	apr_2015	14.5	17	16.7	1158.54
tep_south	malpelo	arrecife	40	mal_arrecife_3789	apr_2015	25.2	20	7.6	433.05
tep_south	malpelo	arrecife	40	mal_arrecife_3813	apr_2015	16.8	22	14.25	1122.17
tep_north	revillagigedo_san_benedicto	the_boiler_s	250	rsb_the_boiler_s_4915	feb_2006	20	12	0.34	128.01
tep_south	malpelo	bajo_del_junior	40	mal_bajo_del_junior_4987	apr_2015	14.5	19	9.97	2117.64
swa	noronha	cagarras_noronha	40	fno_cagarras_noronha_1070	jun_2007	17	14	1.73	114.51
swa	rocas	piscina_das_rocas	40	roc_piscina_das_rocas_4862	feb_2012	1	15	6.5	2156.5
tep_north	revillagigedo_roca_partida	roca_partida	250	rrp_roca_partida_3754	feb_2006	15	9	0.96	148.63
